iter	Passed	Remaining
401	14248	21195
402	14287	21165
403	14324	21131
404	14359	21096
405	14400	21068
406	14423	21015
407	14459	20980
408	14495	20945
409	14530	20909
410	14567	20876
411	14585	20816
412	14620	20780
413	14649	20735
414	14685	20701
415	14698	20634
416	14733	20598
417	14756	20546
418	14763	20471
419	14799	20436
420	14833	20400
421	14867	20363
422	14901	20326
423	14937	20291
424	14971	20255
425	15007	20220
426	15040	20183
427	15075	20148
428	15093	20089
429	15116	20038
430	15151	20002
431	15186	19966
432	15219	19929
433	15255	19895
434	15290	19860
435	15325	19824
436	15359	19787
437	15371	19723
438	15407	19689
439	15444	19656
440	15486	19630
441	15522	19595
442	15560	19564
443	15596	19530
444	15631	19495
445	15638	19425
446	15667	19382
447	15702	19348
448	15736	19311
449	15771	19276
450	15806	19241
451	15840	19204
452	15853	19143
453	15889	19108
454	15902	19047
455	15937	19012
456	15971	18976
457	16001	18936
458	16035	18900
459	16058	18851
460	16080	18801
461	16116	18768
462	16151	18732
463	16186	18698
464	16215	18656
465	16222	18590
466	16259	18557
467	16288	18516
468	16323	18481
469	16336	18422
470	16371	18388
471	16407	18354
472	16442	18320
473	16477	18285
474	16514	18252
475	16551	18220
476	16587	18186
477	16621	18151
478	16669	18130
479	16710	18102
480	16750	18073
481	16787	18041
482	16818	18002
483	16849	17963
484	16888	17933
485	16914	17888
486	16951	17856
487	16964	17798
488	17000	17765
489	17036	17732
490	17067	17693
491	17081	17636
492	17117	17603
493	17153	17570
494	17166	17513
495	17197	17474
496	17215	17423
497	17251	17390
498	17287	17356
499	17322	17322
500	17358	17288
501	17394	17255
502	17429	17222
503	17466	17188
504	17501	17154
505	17536	17120
506	17574	17088
507	17608	17054
508	17644	17020
509	17681	16988
510	17719	16956
511	17756	16924
512	17793	16891
513	17830	16858
514	17854	16814
515	17889	16780
516	17925	16746
517	17960	16712
518	17996	16679
519	18031	16644
520	18066	16609
521	18100	16574
522	18130	16535
523	18168	16503
524	18202	16468
525	18237	16434
526	18274	16401
527	18310	16368
528	18348	16337
529	18385	16304
530	18420	16270
531	18455	16235
532	18490	16201
533	18526	16167
534	18562	16133
535	18586	16090
536	18593	16031
537	18628	15996
538	18662	15961
539	18698	15928
540	18716	15880
541	18752	15846
542	18781	15807
543	18817	15773
544	18851	15738
545	18886	15703
546	18921	15669
547	18955	15634
548	18986	15597
549	19021	15563
550	19056	15529
551	19075	15481
552	19109	15446
553	19132	15402
554	19167	15368
555	19201	15333
556	19237	15299
557	19272	15265
558	19307	15232
559	19342	15197
560	19377	15163
561	19413	15129
562	19431	15082
563	19467	15049
564	19504	15016
565	19540	14983
566	19579	14952
567	19604	14910
568	19622	14863
569	19674	14842
570	19706	14805
571	19742	14772
572	19780	14740
573	19819	14709
574	19861	14680
575	19907	14654
576	19962	14634
577	20002	14604
578	20010	14550
579	20037	14510
580	20070	14474
581	20110	14443
582	20130	14398
583	20169	14367
584	20208	14336
585	20257	14311
586	20295	14279
587	20334	14247
588	20373	14216
589	20405	14180
590	20445	14148
591	20464	14104
592	20503	14072
593	20540	14039
594	20578	14007
595	20616	13975
596	20636	13930
597	20675	13898
598	20702	13859
599	20732	13821
600	20769	13788
601	20804	13754
602	20829	13713
603	20852	13671
604	20889	13638
605	20925	13605
606	20944	13560
607	20978	13525
608	21008	13487
609	21020	13439
610	21044	13398
611	21080	13364
612	21120	13333
613	21157	13300
614	21193	13267
615	21228	13233
616	21262	13198
617	21281	13154
618	21318	13121
619	21331	13073
620	21366	13040
621	21401	13006
622	21437	12972
623	21461	12931
624	21496	12897
625	21514	12853
626	21549	12819
627	21584	12785
628	21599	12739
629	21634	12705
630	21671	12672
631	21689	12629
632	21727	12596
633	21764	12564
634	21783	12520
635	21795	12474
636	21832	12441
637	21876	12412
638	21923	12385
639	21970	12358
640	22017	12331
641	22059	12301
642	22109	12275
643	22158	12249
644	22213	12225
645	22267	12202
646	22290	12161
647	22350	12141
648	22395	12112
649	22445	12086
650	22497	12060
651	22540	12031
652	22556	11986
653	22599	11956
654	22641	11925
655	22670	11888
656	22717	11860
657	22760	11829
658	22801	11798
659	22840	11766
660	22880	11734
661	22918	11701
662	22956	11668
663	22994	11635
664	23034	11603
665	23073	11571
666	23099	11532
667	23136	11499
668	23156	11457
669	23193	11423
670	23230	11390
671	23256	11351
672	23297	11319
673	23328	11283
674	23359	11247
675	23396	11213
676	23432	11179
677	23445	11135
678	23481	11101
679	23517	11066
680	23553	11033
681	23585	10997
682	23623	10964
683	23661	10931
684	23696	10897
685	23727	10860
686	23763	10826
687	23781	10784
688	23800	10743
689	23835	10708
690	23871	10674
691	23884	10630
692	23903	10589
693	23916	10545
694	23934	10503
695	23969	10469
696	24004	10435
697	24039	10401
698	24074	10366
699	24110	10333
700	24146	10299
701	24181	10264
702	24217	10231
703	24252	10196
704	24287	10162
705	24323	10129
706	24360	10095
707	24396	10061
708	24434	10028
709	24470	9994
710	24505	9960
711	24542	9927
712	24566	9888
713	24604	9855
714	24643	9823
715	24681	9789
716	24716	9755
717	24754	9722
718	24790	9688
719	24826	9654
720	24862	9621
721	24899	9587
722	24935	9553
723	24969	9518
724	25005	9484
725	25041	9451
726	25077	9417
727	25115	9383
728	25151	9349
729	25169	9309
730	25204	9275
731	25241	9241
732	25274	9206
733	25309	9172
734	25328	9132
735	25364	9098
736	25400	9064
737	25435	9030
738	25470	8995
739	25489	8955
740	25523	8921
741	25559	8887
742	25595	8853
743	25635	8820
744	25674	8788
745	25709	8753
746	25746	8719
747	25781	8685
748	25805	8647
749	25840	8613
750	25876	8579
751	25912	8545
752	25948	8511
753	25984	8477
754	26020	8443
755	26054	8409
756	26068	8367
757	26103	8333
758	26138	8299
759	26173	8265
760	26209	8231
761	26245	8197
762	26281	8163
763	26317	8129
764	26330	8088
765	26367	8054
766	26386	8015
767	26422	7981
768	26457	7947
769	26491	7912
770	26525	7878
771	26560	7844
772	26595	7810
773	26632	7776
774	26667	7742
775	26692	7704
776	26715	7667
777	26751	7633
778	26786	7599
779	26800	7559
780	26834	7524
781	26869	7490
782	26882	7450
783	26905	7412
784	26940	7378
785	26952	7338
786	26970	7299
787	27006	7265
788	27041	7231
789	27075	7197
790	27111	7163
791	27145	7129
792	27179	7094
793	27215	7060
794	27251	7027
795	27269	6988
796	27304	6954
797	27341	6920
798	27376	6887
799	27400	6850
800	27436	6816
801	27454	6778
802	27485	6743
803	27522	6709
804	27579	6680
805	27620	6648
806	27659	6615
807	27698	6581
808	27737	6548
809	27775	6515
810	27814	6481
811	27827	6442
812	27866	6409
813	27903	6376
814	27941	6342
815	27980	6309
816	28020	6276
817	28060	6243
818	28080	6205
819	28119	6172
820	28149	6137
821	28188	6104
822	28216	6068
823	28254	6034
824	28274	5997
825	28315	5964
826	28336	5927
827	28377	5894
828	28418	5861
829	28459	5829
830	28499	5795
831	28538	5762
832	28553	5724
833	28592	5691
834	28632	5658
835	28673	5624
836	28687	5586
837	28725	5553
838	28766	5520
839	28805	5486
840	28843	5453
841	28881	5419
842	28920	5386
843	28957	5352
844	28996	5318
845	29035	5285
846	29073	5251
847	29093	5214
848	29119	5179
849	29157	5145
850	29197	5112
851	29237	5078
852	29276	5045
853	29315	5011
854	29353	4978
855	29387	4943
856	29426	4910
857	29463	4876
858	29500	4842
859	29538	4808
860	29575	4774
861	29613	4740
862	29651	4707
863	29688	4673
864	29701	4635
865	29737	4601
866	29774	4567
867	29809	4533
868	29845	4499
869	29880	4464
870	29917	4430
871	29956	4397
872	29991	4363
873	30026	4328
874	30061	4294
875	30097	4260
876	30131	4225
877	30166	4191
878	30212	4158
879	30249	4124
880	30284	4090
881	30322	4056
882	30359	4022
883	30395	3988
884	30431	3954
885	30467	3920
886	30480	3883
887	30516	3848
888	30550	3814
889	30585	3780
890	30609	3744
891	30638	3709
892	30677	3675
893	30713	3641
894	30751	3607
895	30787	3573
896	30822	3539
897	30857	3504
898	30891	3470
899	30930	3436
900	30965	3402
901	31000	3368
902	31029	3333
903	31064	3298
904	31082	3262
905	31116	3228
906	31152	3194
907	31187	3159
908	31222	3125
909	31256	3091
910	31287	3056
911	31323	3022
912	31358	2988
913	31394	2953
914	31429	2919
915	31465	2885
916	31501	2851
917	31541	2817
918	31578	2783
919	31613	2749
920	31651	2714
921	31689	2680
922	31725	2646
923	31760	2612
924	31796	2578
925	31830	2543
926	31865	2509
927	31900	2475
928	31935	2440
929	31974	2406
930	32009	2372
931	32043	2337
932	32079	2303
933	32114	2269
934	32149	2234
935	32184	2200
936	32214	2165
937	32248	2131
938	32283	2097
939	32320	2063
940	32340	2027
941	32375	1993
942	32410	1959
943	32446	1924
944	32481	1890
945	32516	1856
946	32552	1821
947	32571	1786
948	32612	1752
949	32630	1717
950	32668	1683
951	32705	1648
952	32740	1614
953	32787	1580
954	32826	1546
955	32863	1512
956	32900	1478
957	32936	1443
958	32973	1409
959	33009	1375
960	33044	1341
961	33081	1306
962	33120	1272
963	33156	1238
964	33193	1203
965	33211	1168
966	33246	1134
967	33283	1100
968	33325	1066
969	33368	1032
970	33407	997
971	33444	963
972	33481	929
973	33519	894
974	33557	860
975	33594	826
976	33630	791
977	33667	757
978	33705	723
979	33742	688
980	33779	654
981	33816	619
982	33852	585
983	33889	551
984	33926	516
985	33962	482
986	33996	447
987	34034	413
988	34069	378
989	34105	344
990	34139	310
991	34174	275
992	34209	241
993	34244	206
994	34282	172
995	34318	137
996	34354	103
997	34390	68
998	34425	34
999	34460	0
