iter	Logloss
0	0.6870872797
1	0.6817199634
2	0.6775754159
3	0.6716775476
4	0.6655204857
5	0.6604480268
6	0.6558174887
7	0.6503583994
8	0.6452716441
9	0.6405585276
10	0.6360282782
11	0.633341165
12	0.6307058127
13	0.625727157
14	0.621517969
15	0.6167697137
16	0.6126285215
17	0.609731458
18	0.6060252691
19	0.6037651441
20	0.5990197051
21	0.5952200423
22	0.5918083012
23	0.5880482029
24	0.5839083327
25	0.5806076482
26	0.5765626751
27	0.5744655527
28	0.5709975628
29	0.5671454847
30	0.564233053
31	0.5625078925
32	0.5596976035
33	0.5580437109
34	0.5548020578
35	0.5532169249
36	0.5510357275
37	0.547884128
38	0.5451155396
39	0.5430675449
40	0.5413311561
41	0.5398300897
42	0.5384628233
43	0.5351572865
44	0.5324048307
45	0.5299273691
46	0.527117789
47	0.5245160735
48	0.5230733341
49	0.5205553914
50	0.5178172352
51	0.5157910997
52	0.5139400413
53	0.5114742343
54	0.5088827772
55	0.5073043391
56	0.5063015632
57	0.5041074517
58	0.5031460077
59	0.5004173672
60	0.4980721021
61	0.4965384122
62	0.4943736839
63	0.4925417134
64	0.4909151772
65	0.4900937349
66	0.4881390158
67	0.4865264433
68	0.4850731665
69	0.4839670022
70	0.4825330665
71	0.481812286
72	0.4804720895
73	0.4783737856
74	0.4766574993
75	0.4753129277
76	0.4740603368
77	0.4727185478
78	0.4715394315
79	0.4696873223
80	0.4680302566
81	0.4668905299
82	0.4653393715
83	0.4640462799
84	0.4627881911
85	0.4621864147
86	0.4612496572
87	0.4596898013
88	0.4583549003
89	0.4573624009
90	0.4562161778
91	0.4548372274
92	0.4533266758
93	0.4520845233
94	0.4512273977
95	0.4502373715
96	0.4497710562
97	0.4488192387
98	0.4478141007
99	0.4470995507
100	0.4460328525
101	0.4449297775
102	0.4439091827
103	0.4424618241
104	0.4415258946
105	0.4400793504
106	0.4395010179
107	0.4386446693
108	0.4379609485
109	0.4371754858
110	0.436168534
111	0.4355363376
112	0.4350056467
113	0.4343842815
114	0.4336552012
115	0.432578766
116	0.4318826545
117	0.4312813743
118	0.4308404232
119	0.4302490765
120	0.4295363592
121	0.4290847886
122	0.428841904
123	0.4283406009
124	0.4278428525
125	0.4273886654
126	0.4266824026
127	0.4255828975
128	0.4251205997
129	0.4245511492
130	0.424345691
131	0.4236384601
132	0.4230008405
133	0.4220284156
134	0.4209738784
135	0.4205912767
136	0.4197590845
137	0.4191618811
138	0.4188948261
139	0.418010714
140	0.4176890194
141	0.4170673921
142	0.416623593
143	0.4164993133
144	0.4164513129
145	0.4159432964
